Date/Time;Active_Power;Wind_Speed;Theoretical_Power ;Wind_Direction;Error;Service;FaultMsg;Status Text;Power_Difference
2018-01-01 00:00:00;380.05;5.31;416;260;0;False;False;Turbine in operation;35.95
2018-01-01 00:10:00;45.38;5.67;520;27;0;False;True;Insulation monitoring : Insulation fault Phase U2;474.62
2018-01-01 00:20:00;306.38;5.22;391;273;0;True;False;Maintenance;84.62
2018-01-01 00:30:00;419.65;5.66;516;271;1;False;False;Maintenance;96.35
2018-01-01 00:40:00;380.65;5.58;492;266;0;True;False;Maintenance;111.35
2018-01-01 00:50:00;402.39;5.6;499;26;0;False;False;Remote control PC : switched off;96.61
2018-01-01 01:00:00;447.61;5.79;557;266;0;False;False;Remote control PC : switched on;109.39
2018-01-01 01:10:00;343.0;5.31;415;258;2;True;False;Maintenance;72.0
2018-01-01 01:20:00;463.65;5.59;494;253;0;False;False;Generator heating : Hygrostat inverter;30.35
2018-01-01 01:30:00;439.73;5.52;476;26;0;False;False;Calibration of  load control ;36.27
2018-01-01 01:40:00;498.18;5.72;536;252;0;False;False;Turbine starting;37.82
2018-01-01 01:50:00;526.82;5.93;603;266;0;False;False;Generator heating : Hygrostat inverter;76.18
2018-01-01 02:00:00;710.59;6.55;825;27;0;True;False;Maintenance;114.41
2018-01-01 02:10:00;655.19;6.2;693;267;0;False;False;Turbine in operation during maintenance;37.81
2018-01-01 02:20:00;754.76;6.51;808;27;0;True;False;Maintenance;53.24
2018-01-01 02:30:00;790.17;6.63;859;270;0;False;False;Turbine in operation during maintenance;68.83
2018-01-01 02:40:00;742.99;6.38;759;267;0;False;False;Turbine in operation;16.01
2018-01-01 02:50:00;748.23;0.65;79;266;0;False;False;Turbine in operation during maintenance;-669.23
2018-01-01 03:00:00;736.65;6.42;773;26;0;False;False;Turbine in operation;36.35
2018-01-01 03:10:00;787.25;6.44;8;26;12;True;False;Lack of wind : Wind speed to low;-779.25
2018-01-01 03:20:00;722.86;6.22;701;256;0;False;False;Turbine operational;-21.86
2018-01-01 03:30:00;935.03;6.9;971;250;0;False;False;Turbine starting;35.97
2018-01-01 03:40:00;122.06;7.61;132;256;0;False;False;Turbine in operation;9.94
2018-01-01 03:50:00;105.38;7.29;115;255;0;False;False;Turbine in operation during maintenance;9.62
2018-01-01 04:00:00;149.38;7.94;150;256;0;True;False;Maintenance;0.62
2018-01-01 04:10:00;172.45;8.38;175;25;0;False;False;Remote control PC : switched off;2.55
2018-01-01 04:20:00;163.69;8.24;167;248;0;False;False;Remote control PC : switched on;3.31
2018-01-01 04:30:00;138.55;7.88;146;239;0;True;False;Maintenance;7.45
2018-01-01 04:40:00;109.89;7.1;106;245;0;False;False;Turbine in operation during maintenance;-3.89
2018-01-01 04:50:00;10.21;6.96;996;245;0;False;False;Turbine in operation;985.79
2018-01-01 05:00:00;116.49;7.1;106;235;13;True;False;Turbine in operation during maintenance;-10.49
2018-01-01 05:10:00;0.11;6.95;995;243;0;False;False;Turbine in operation;994.89
2018-01-01 05:20:00;116.53;7.25;11;245;0;False;False;Turbine in operation during maintenance;-105.53
2018-01-01 05:30:00;117.8;7.3;115;24;0;False;False;Turbine in operation;-2.8
2018-01-01 05:40:00;117.05;7.38;12;25;0;False;False;Lack of wind : Wind speed to low;-105.05
2018-01-01 05:50:00;114.55;7.45;123;250;0;False;False;Turbine operational;8.45
2018-01-01 06:00:00;111.4;0.72;113;248;0;False;False;Turbine starting;1.6
2018-01-01 06:10:00;115.32;7.33;117;245;0;False;False;Turbine in operation;1.68
2018-01-01 06:20:00;11.25;7.14;108;245;0;False;False;Lack of wind : Wind speed to low;96.75
2018-01-01 06:30:00;122.87;7.47;124;246;0;False;False;Turbine operational;1.13
2018-01-01 06:40:00;102.18;7.03;103;249;0;False;False;Turbine starting;0.82
2018-01-01 06:50:00;957.38;6.89;966;245;0;False;False;Turbine in operation;8.62
2018-01-01 07:00:00;909.89;6.89;966;24;0;False;False;Lack of wind : Wind speed to low;56.11
2018-01-01 07:10:00;100.1;7.22;11;233;0;False;False;Turbine operational;-89.1
2018-01-01 07:20:00;102.45;0.71;105;230;0;False;False;Turbine starting;2.55
